authors_id,name,surname,gender,birth date,nationality,age,country
220,Luis,Velazquez,M,25/03/1956,Spanish,67,Spain
218,Sofia,Soto,F,18/06/1982,Aruba,41,Aruba
217,Roberto,Rodriguez,M,29/09/1972,Surinam,51,Suriname
216,Julia,Fernandez,F,13/02/1980,Guyane,43,Guyana
215,Laura,Mendez,F,07/12/1973,French Guiana,49,France Guiana
214,Felipe,Torres,M,26/01/1984,South Georgia and the South Sandwich Islands,39,South Georgia and the South Sandwich Islands
213,Emma,Ramirez,F,03/08/1976,Falkland Islands,47,Falkland Islands
212,Leonardo,Perez,M,09/11/1975,Montserrat,48,Montserrat
211,Olivia,Gomez,F,04/07/1981,Anguilla,42,Anguilla
210,Mateo,Mendez,M,12/10/1989,Saint Martin,34,Saint Martin
209,Catalina,Santos,F,30/04/1978,British Virgin Islands,45,Great Britain Virgin Islands
208,Alejandro,Ortega,M,22/06/1977,Sint Maarten,46,Sint Maarten
207,Antonia,Rivera,F,14/03/1988,Curacao,35,Curacao
206,Vicente,Castro,M,01/09/1979,Aruba,44,Aruba
205,Camila,Silva,F,26/08/1974,Cayman Islands,49,Cayman Islands
204,Joaquin,Mendez,M,03/05/1986,Turks and Caicos Islands,37,Turks and Caicos Islands
203,Gloria,Jimenez,F,24/02/1972,The Bahamas,51,The Bahamas
202,Santiago,Rosales,M,21/12/1982,Bermuda,40,Bermuda
201,Elena,Pena,F,18/11/1971,Saint Vincent and the Grenadines,52,Saint Vincent and the Grenadines
200,Antonio,Suarez,M,15/10/1980,Saint Lucia,43,Saint Lucia
199,Natalia,Cruz,F,28/07/1984,Saint Kitts and Nevis,39,Saint Kitts and Nevis
198,Rafael,Gomez,M,20/01/1976,Antigua and Barbuda,47,Antigua and Barbuda
197,Lorena,Duarte,F,03/09/1978,Grenada,45,Grenada
196,Carlos,Medina,M,09/04/1985,Barbados,38,Barbados
195,Monica,Torres,F,16/06/1973,Jamaica,50,Jamaica
194,Manuel,Soto,M,07/08/1977,Haiti,46,Haiti
193,Adriana,Perez,F,12/03/1979,Trinidad and Tobago,44,Trinidad and Tobago
192,Miguel,Fernandez,M,10/02/1989,Guyana,34,Guyana
191,Luisa,Vargas,F,27/07/1970,Suriname,53,Suriname
190,Valeria,Chavez,F,04/12/1975,Belize,47,Belize
189,Andres,Gomez,M,19/11/1988,Cuba,34,Cuba
188,Silvia,Ortega,F,08/05/1974,Dominican Republic,49,Dominican Republic
187,Roberto,Castro,M,06/03/1987,Puerto Rico,36,Puerto Rico
186,Lucia,Diaz,F,14/09/1972,Uruguay,51,Uruguay
185,Fernando,Mendez,M,23/06/1981,Panama,42,Panama
184,Carmen,Fernandez,F,17/04/1976,Paraguay,47,Paraguay
183,Daniel,Rodriguez,M,02/08/1986,Nicaragua,37,Nicaragua
182,Paula,Perez,F,29/10/1971,Bolivia,52,Bolivia
181,Javier,Martinez,M,11/01/1983,Costa Rica,40,Costa Rica
180,Sofia,Morales,F,03/07/1978,El Salvador,45,El Salvador
179,Ricardo,Ramirez,M,01/04/1984,Honduras,39,Honduras
178,Isabel,Gonzalez,F,12/12/1973,Guatemala,49,Guatemala
177,Pedro,Silva,M,18/02/1979,Venezuela,44,Venezuela
176,Laura,Torres,F,25/09/1985,Ecuador,38,Ecuador
175,Diego,Fernandez,M,07/06/1977,Chile,46,Chile
174,Ana,Martinez,F,30/11/1970,Mexico,52,Mexico
173,Carlos,Garcia,M,22/03/1982,Peru,41,Peru
172,Maria,Lopez,F,15/08/1975,Colombia,48,Colombia
171,Luis,Rodriguez,M,10/05/1980,Argentina,43,Argentina
170,Tove,Hansen,M,05/01/1989,Swedish,34,Sweden
169,Johan,Mikkelsen,M,20/07/1988,Danish,35,Denmark
168,Helena,Niemi,F,11/11/1975,Finnish,48,Finland
